source,group,feature,icc_2_1,n_subjects,n_trials,trial_ids_used,ms_subject,ms_trial,ms_error
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_max_angular_acceleration,0.21961327884505344,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",185.7081389593391,31.888340295983042,25.161311968324934
HE_Gyr_Magnitude,neuro,HE_Gyr_Magnitude_std_angular_acceleration,0.5186602319770216,2,20,"1,2,3,4,5,6,7,8,9,10,13,14,11,12,15,16,17,18,19,20",12.260765566348176,0.7180794069891191,0.384125614146643
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_avg_stride_time,-0.08527814203037985,2,9,"1,2,3,4,5,6,7,8,9",0.0011497868850648988,0.004068098174826358,0.004004093794783624
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_max_stride_time,0.37978113368548094,2,9,"1,2,3,4,5,6,7,8,9",3.6090888888888895,0.4550750000000001,0.6271138888888885
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_std_stride_time,0.3961788963859312,2,9,"1,2,3,4,5,6,7,8,9",0.09796562760781591,0.01157048183008638,0.01614236914866122
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_u_turn_time,0.38182179601474636,2,9,"1,2,3,4,5,6,7,8,9",6.968888888888894,0.5729597222222219,1.4225263888888877
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_gait_cadence,-0.14473405428404107,2,9,"1,2,3,4,5,6,7,8,9",0.00013357823054614004,0.00746423040797018,0.01016229414233075
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_avg_angular_velocity_peak,0.7077326815410026,2,9,"1,2,3,4,5,6,7,8,9",0.9297563246525343,0.012522057573012193,0.06668187582892142
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_max_angular_velocity_peak,0.5605218384034936,2,9,"1,2,3,4,5,6,7,8,9",5.408104061795297,0.4392827081387808,0.4283571906537147
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_std_angular_velocity_peak,0.2142327047979475,2,9,"1,2,3,4,5,6,7,8,9",0.12769601546668524,0.03786732591353161,0.03648013286556571
HE_Gyr_Magnitude,ortho,HE_Gyr_Magnitude_avg_angular_acceleration,0.8468719059595066,2,9,"1,2,3,4,5,6,7,8,9",24.72259500628723,0.5189446144599946,0.45611554461602355
